Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
AAZQ11;Títulos e Val. Mob.;7,93;18,32%;15,74%;0,91;190.616.000;752.324;0;0,00;0,00;0,00%;0,00%
ABCP11;Shoppings;71,60;8,63%;9,02%;0,70;337.170.000;52.261;1;4.702,88;511,02;10,87%;2,01%
AEFI11;Outros;174,90;8,89%;0,00%;1,20;411.893.000;0;7;4.320,48;394,34;9,13%;0,00%
AFCR11;;103,15;6,80%;0,00%;1,04;498.867.000;0;0;0,00;0,00;0,00%;0,00%
AFHI11;Títulos e Val. Mob.;97,58;8,89%;12,22%;1,01;444.537.000;988.744;0;0,00;0,00;0,00%;0,00%
AFOF11;Títulos e Val. Mob.;91,60;0,77%;0,00%;11,10;1.390.540.000;0;0;0,00;0,00;0,00%;0,00%
AGCX11;Outros;1.235,50;0,74%;0,00%;11,43;15.425.600.000;0;71;76.293,70;756,97;0,99%;5,39%
AGRX11;Híbrido;10,00;18,13%;15,89%;1,00;179.032.000;377.552;0;0,00;0,00;0,00%;0,00%
AIEC11;Lajes Corporativas;54,20;17,24%;17,18%;0,64;261.514.000;419.273;2;10.899,00;1.935,00;17,75%;0,00%
AJFI11;Títulos e Val. Mob.;8,09;7,08%;8,28%;0,66;255.854.000;814.185;0;0,00;0,00;6,51%;0,00%
ALMI11;Lajes Corporativas;594,00;5,53%;1,05%;0,27;66.039.100;29.535;1;1.440,78;211,70;14,69%;55,40%
ALZC11;Títulos e Val. Mob.;95,50;14,79%;5,89%;0,95;37.188.600;20.660;0;0,00;0,00;0,00%;0,00%
ALZM11;Títulos e Val. Mob.;7,72;9,08%;12,70%;0,94;117.194.000;206.618;0;0,00;0,00;0,00%;0,00%
ALZR11;Híbrido;107,95;7,07%;8,24%;1,01;1.319.860.000;2.027.630;17;4.860,55;331,28;6,82%;0,00%
ANCR11;Shoppings;97,81;9,18%;4,43%;0,91;2.614.950.000;911;7;10.764,60;1.393,52;12,95%;4,42%
APTO11;Híbrido;9,65;10,80%;10,63%;0,96;44.508.000;19.480;4;17.652,00;1.129,33;6,40%;0,00%
APXM11;Híbrido;96,99;7,07%;6,89%;1,01;170.702.000;20.211;1;1.684,37;150,78;8,95%;10,24%
ARCT11;Híbrido;87,13;-71,35%;0,00%;0,87;323.093.000;0;13;1.471,65;108,66;7,38%;3,26%
AROA11;Outros;1,00;6,59%;5,30%;1,03;170.034.000;9.925;6;1.297,03;96,06;7,41%;0,00%
ARRI11;Títulos e Val. Mob.;8,94;7,07%;12,49%;1,04;160.229.000;335.250;0;0,00;0,00;0,00%;0,00%
ARXD11;Títulos e Val. Mob.;97,00;8,51%;11,93%;0,99;63.524.800;97.258;0;0,00;0,00;0,00%;0,00%
ASMT11;Híbrido;41,40;7,03%;0,00%;0,46;44.764.000;17.241;3;3.847,63;749,21;19,47%;0,00%
ASRF11;Híbrido;10.882,00;-5,01%;0,00%;1,12;32.014.800;30.043;2;4.546,11;0,00;0,00%;0,00%
ATSA11;Shoppings;54,96;1,40%;1,29%;0,72;96.242.700;847;1;2.839,93;55,78;1,96%;18,60%
AURB11;Logística;86,00;1,43%;0,00%;1,11;77.272.200;58;2;2.265,67;123,74;5,46%;48,35%
AZPL11;Logística;8,60;-0,03%;0,00%;0,86;156.603.000;86.209;0;0,00;0,00;0,00%;0,00%
BARI11;Títulos e Val. Mob.;77,04;10,43%;10,98%;0,83;357.018.000;553.756;3;3.322,16;0,00;0,00%;0,00%
BBFI11;Lajes Corporativas;451,51;166,91%;52,36%;0,30;58.696.300;228.023;3;303,65;1.192,87;392,84%;46,50%
BBFO11;Títulos e Val. Mob.;72,29;16,27%;10,15%;0,90;289.442.000;368.451;0;0,00;0,00;0,00%;0,00%
BBGO11;Títulos e Val. Mob.;85,30;16,85%;10,92%;0,87;341.640.000;322.124;0;0,00;0,00;0,00%;0,00%
BBIG11;Shoppings;9,32;1,43%;3,36%;0,96;923.808.000;560.443;0;0,00;0,00;0,00%;0,00%
BBPO11;Lajes Corporativas;96,75;11,04%;0,93%;0,95;1.540.230.000;0;62;3.837,59;501,92;13,08%;4,57%
BBRC11;Outros;115,41;11,65%;10,88%;1,12;183.502.000;98.922;20;11.432,70;1.521,65;13,31%;0,00%
BBVJ11;Lajes Corporativas;62,99;2,75%;0,00%;0,88;197.789.000;0;1;10.093,90;587,26;5,82%;45,04%
BCFF11;Títulos e Val. Mob.;8,23;9,58%;10,56%;0,88;1.658.270.000;3.050.350;0;0,00;0,00;0,00%;0,00%
BCIA11;Títulos e Val. Mob.;101,59;9,25%;9,65%;0,96;377.817.000;579.128;0;0,00;0,00;0,00%;0,00%
BCRI11;Títulos e Val. Mob.;68,39;12,47%;12,46%;0,79;427.976.000;462.129;0;0,00;0,00;0,00%;0,00%
BICE11;Títulos e Val. Mob.;930,00;8,85%;9,54%;0,92;97.512.400;2.480;0;0,00;0,00;0,00%;0,00%
BICR11;Títulos e Val. Mob.;39,51;20,10%;40,20%;0,89;19.755.000;8.137;0;0,00;0,00;0,00%;0,00%
BIME11;Híbrido;7,29;13,40%;13,34%;0,85;42.614.400;68.287;3;186,43;0,00;0,00%;0,00%
BIPD11;Híbrido;988,17;-2,53%;7,39%;0,98;78.456.700;0;2;7.432,88;0,00;0,00%;0,00%
BLCA11;Lajes Corporativas;100,33;-1,25%;16,20%;0,83;160.528.000;87.593;1;37.646,30;2.988,47;7,94%;0,00%
BLCP11;Logística;91,00;5,41%;0,00%;0,81;208.962.000;0;2;3.014,16;199,89;6,63%;0,00%
BLMC11;Títulos e Val. Mob.;85,75;11,10%;5,10%;0,91;34.257.100;0;0;0,00;0,00;0,00%;0,00%
BLMG11;Outros;40,51;15,53%;13,58%;0,56;172.929.000;562.289;2;93,17;15,71;16,86%;58,43%
BLMO11;Lajes Corporativas;82,00;6,22%;6,12%;0,79;81.574.800;63.082;1;9.747,64;813,89;8,35%;0,00%
BLMR11;Títulos e Val. Mob.;6,78;10,17%;2,41%;0,84;173.172.000;0;0;0,00;0,00;0,00%;0,00%
BLUR11;Títulos e Val. Mob.;99,99;4,58%;9,43%;1,17;8.999.100;1.230;0;0,00;0,00;0,00%;0,00%
BMLC11;Híbrido;100,98;8,87%;8,25%;1,02;100.819.000;36.550;1;16.543,60;1.443,05;8,72%;0,00%
BNFS11;Outros;118,63;14,20%;12,87%;1,40;83.041.000;83.683;18;7.588,80;1.280,09;16,87%;0,22%
BPFF11;Outros;67,78;15,61%;10,37%;0,90;304.490.000;333.242;0;0,00;0,00;0,00%;0,00%
BPML11;Híbrido;91,45;-0,68%;8,36%;0,71;680.548.000;1.316.360;4;5.161,30;796,36;15,43%;7,11%
BPRP11;Outros;109,90;10,33%;10,28%;0,88;148.347.000;286;1;6.369,79;692,07;10,86%;0,00%
BRCO11;Logística;112,24;7,11%;9,05%;0,94;1.785.190.000;2.695.880;12;3.479,73;313,37;9,01%;5,95%
BRCR11;Híbrido;49,51;-0,74%;10,80%;0,55;1.318.860.000;1.316.030;6;11.348,00;1.612,29;14,21%;6,14%
BREV11;Híbrido;105,00;6,59%;0,55%;0,00;101.556.000;0;13;0,00;1.437,55;0,00%;0,00%
