Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
AAZQ11;Títulos e Val. Mob.;6,62;21,65%;18,12%;0,76;159.127.000;811.424;0;0,00;0,00;0,00%;0,00%
ABCP11;Shoppings;75,89;8,15%;8,76%;0,75;357.372.000;60.763;1;4.991,50;511,02;10,24%;2,01%
AEFI11;Outros;174,90;8,89%;0,00%;1,20;411.893.000;0;7;4.316,30;394,34;9,14%;0,00%
AFCR11;Híbrido;103,15;6,80%;0,00%;1,05;498.867.000;0;0;0,00;0,00;0,00%;0,00%
AFHI11;Títulos e Val. Mob.;94,89;9,90%;12,36%;0,99;432.283.000;1.233.550;0;0,00;0,00;0,00%;0,00%
AFOF11;Títulos e Val. Mob.;91,60;0,86%;0,00%;11,34;1.390.540.000;0;0;0,00;0,00;0,00%;0,00%
AGCX11;Outros;1.235,50;0,74%;0,00%;11,48;15.425.600.000;0;71;74.850,90;756,97;1,01%;5,39%
AGRX11;Híbrido;6,90;26,87%;20,68%;0,68;123.532.000;567.907;0;0,00;0,00;0,00%;0,00%
AIEC11;Lajes Corporativas;42,37;22,31%;21,51%;0,50;204.435.000;579.248;2;8.476,50;1.913,15;22,57%;0,00%
AJFI11;Títulos e Val. Mob.;7,29;7,86%;10,91%;0,59;230.553.000;626.717;0;0,00;0,00;7,22%;0,00%
ALMI11;Lajes Corporativas;577,11;5,65%;2,43%;0,27;64.161.400;24.918;1;1.395,69;215,94;15,47%;55,40%
ALZC11;Títulos e Val. Mob.;91,50;8,21%;8,59%;0,91;62.259.000;250.354;0;0,00;0,00;0,00%;0,00%
ALZM11;Títulos e Val. Mob.;7,25;10,83%;13,61%;0,90;110.059.000;194.186;0;0,00;0,00;0,00%;0,00%
ALZR11;Híbrido;100,32;7,60%;8,72%;0,95;1.226.570.000;2.070.090;16;4.863,87;331,28;6,81%;0,00%
ANCR11;Shoppings;105,00;8,55%;5,54%;0,97;2.807.180.000;437;7;11.480,50;1.393,52;12,14%;4,42%
APTO11;Híbrido;9,08;12,00%;12,18%;0,92;41.879.000;40.841;4;15.496,30;1.091,99;7,05%;0,00%
APXM11;Híbrido;101,89;5,40%;6,68%;1,05;227.597.000;89.003;1;1.751,44;154,90;8,84%;10,58%
ARCT11;Híbrido;87,13;-62,48%;0,00%;0,87;368.999.000;0;13;1.073,41;108,66;10,12%;3,26%
AROA11;Outros;1,11;6,01%;5,83%;1,12;186.399.000;7.796;6;1.420,18;96,06;6,76%;0,00%
ARRI11;Títulos e Val. Mob.;8,65;6,66%;10,75%;1,01;169.946.000;610.453;0;0,00;0,00;0,00%;0,00%
ARXD11;Títulos e Val. Mob.;8,29;130,39%;13,84%;0,09;5.429.080;188.878;0;0,00;0,00;0,00%;0,00%
ASMT11;Híbrido;37,00;7,87%;0,00%;0,41;40.006.500;2.142;3;3.421,70;749,21;21,90%;0,00%
ASRF11;Híbrido;10.942,00;-4,98%;0,00%;1,16;32.191.400;34.587;2;4.727,87;0,00;0,00%;0,00%
ATSA11;Shoppings;51,05;1,50%;2,35%;0,67;89.395.800;1.582;1;2.632,64;55,78;2,12%;18,60%
AURB11;Logística;86,00;1,43%;0,00%;1,13;77.272.200;21;2;2.292,57;123,74;5,40%;48,35%
AZPL11;Logística;7,10;-0,03%;0,00%;0,72;129.288.000;627.578;0;0,00;0,00;0,00%;0,00%
BARI11;Títulos e Val. Mob.;71,08;12,81%;12,43%;0,77;329.398.000;588.468;3;3.085,56;0,00;0,00%;0,00%
BBFI11;Lajes Corporativas;350,26;215,15%;63,88%;0,40;45.533.800;165.093;3;409,26;1.192,87;291,47%;46,50%
BBFO11;Títulos e Val. Mob.;63,99;18,40%;11,48%;0,85;256.210.000;300.541;0;0,00;0,00;0,00%;0,00%
BBGO11;Títulos e Val. Mob.;63,55;22,62%;13,45%;0,66;254.528.000;670.722;0;0,00;0,00;0,00%;0,00%
BBIG11;Shoppings;7,70;1,73%;4,00%;0,79;763.232.000;1.192.590;0;0,00;0,00;0,00%;0,00%
BBPO11;Lajes Corporativas;96,75;11,04%;0,00%;0,95;1.540.230.000;0;62;3.852,72;501,92;13,03%;4,57%
BBRC11;Outros;105,00;12,80%;11,93%;0,94;166.950.000;114.270;20;9.842,48;1.521,65;15,46%;0,00%
BBVJ11;Lajes Corporativas;62,99;2,75%;0,00%;0,88;197.789.000;0;1;10.136,10;587,26;5,79%;45,04%
BCFF11;Títulos e Val. Mob.;7,35;11,04%;11,91%;0,81;1.480.960.000;2.171.150;0;0,00;0,00;0,00%;0,00%
BCIA11;Títulos e Val. Mob.;85,70;10,96%;11,42%;0,87;318.722.000;830.105;0;0,00;0,00;0,00%;0,00%
BCRI11;Títulos e Val. Mob.;62,39;16,04%;13,84%;0,72;390.429.000;525.902;0;0,00;0,00;0,00%;0,00%
BICE11;Títulos e Val. Mob.;980,00;7,38%;8,56%;0,96;116.966.000;4.921;0;0,00;0,00;0,00%;0,00%
BICR11;Títulos e Val. Mob.;35,92;19,03%;6,64%;0,81;17.960.000;2.959;0;0,00;0,00;0,00%;0,00%
