PAPEL;SEGMENTO;DIVIDEND_YIELD;P_VP;LIQUIDEZ;QTD_DE_IMOVEIS;VACANCIA_MEDIA
AAZQ11;Títulos e Val. Mob.;0.1574;0.91;752324.0;0;0.0
ABCP11;Shoppings;0.0902;0.7;52261.0;1;2.01
AEFI11;Outros;0.0;1.2;0.0;7;0.0
AFCR11;;0.0;1.04;0.0;0;0.0
AFHI11;Títulos e Val. Mob.;0.1222;1.01;988744.0;0;0.0
AFOF11;Títulos e Val. Mob.;0.0;11.1;0.0;0;0.0
AGCX11;Outros;0.0;11.43;0.0;71;5.39
AGRX11;Híbrido;0.1589;1.0;377552.0;0;0.0
AIEC11;Lajes Corporativas;0.1718;0.64;419273.0;2;0.0
AJFI11;Títulos e Val. Mob.;0.0828;0.66;814185.0;0;0.0
ALMI11;Lajes Corporativas;0.0105;0.27;29535.0;1;55.4
ALZC11;Títulos e Val. Mob.;0.058899999999999994;0.95;20660.0;0;0.0
ALZM11;Títulos e Val. Mob.;0.127;0.94;206618.0;0;0.0
ALZR11;Híbrido;0.0824;1.01;2027630.0;17;0.0
ANCR11;Shoppings;0.0443;0.91;911.0;7;4.42
APTO11;Híbrido;0.1063;0.96;19480.0;4;0.0
APXM11;Híbrido;0.0689;1.01;20211.0;1;10.24
ARCT11;Híbrido;0.0;0.87;0.0;13;3.26
AROA11;Outros;0.053;1.03;9925.0;6;0.0
ARRI11;Títulos e Val. Mob.;0.1249;1.04;335250.0;0;0.0
ARXD11;Títulos e Val. Mob.;0.1193;0.99;97258.0;0;0.0
ASMT11;Híbrido;0.0;0.46;17241.0;3;0.0
ASRF11;Híbrido;0.0;1.12;30043.0;2;0.0
ATSA11;Shoppings;0.0129;0.72;847.0;1;18.6
AURB11;Logística;0.0;1.11;58.0;2;48.35
AZPL11;Logística;0.0;0.86;86209.0;0;0.0
BARI11;Títulos e Val. Mob.;0.10980000000000001;0.83;553756.0;3;0.0
BBFI11;Lajes Corporativas;0.5236;0.3;228023.0;3;46.5
BBFO11;Títulos e Val. Mob.;0.1015;0.9;368451.0;0;0.0
BBGO11;Títulos e Val. Mob.;0.1092;0.87;322124.0;0;0.0
BBIG11;Shoppings;0.0336;0.96;560443.0;0;0.0
BBPO11;Lajes Corporativas;0.009300000000000001;0.95;0.0;62;4.57
BBRC11;Outros;0.10880000000000001;1.12;98922.0;20;0.0
BBVJ11;Lajes Corporativas;0.0;0.88;0.0;1;45.04
BCFF11;Títulos e Val. Mob.;0.1056;0.88;3050350.0;0;0.0
BCIA11;Títulos e Val. Mob.;0.0965;0.96;579128.0;0;0.0
BCRI11;Títulos e Val. Mob.;0.1246;0.79;462129.0;0;0.0
BICE11;Títulos e Val. Mob.;0.09539999999999998;0.92;2480.0;0;0.0
BICR11;Títulos e Val. Mob.;0.402;0.89;8137.0;0;0.0
BIME11;Híbrido;0.1334;0.85;68287.0;3;0.0
BIPD11;Híbrido;0.0739;0.98;0.0;2;0.0
BLCA11;Lajes Corporativas;0.162;0.83;87593.0;1;0.0
BLCP11;Logística;0.0;0.81;0.0;2;0.0
BLMC11;Títulos e Val. Mob.;0.051;0.91;0.0;0;0.0
BLMG11;Outros;0.1358;0.56;562289.0;2;58.43
BLMO11;Lajes Corporativas;0.061200000000000004;0.79;63082.0;1;0.0
BLMR11;Títulos e Val. Mob.;0.0241;0.84;0.0;0;0.0
BLUR11;Títulos e Val. Mob.;0.0943;1.17;1230.0;0;0.0
BMLC11;Híbrido;0.0825;1.02;36550.0;1;0.0
BNFS11;Outros;0.12869999999999998;1.4;83683.0;18;0.22
BPFF11;Outros;0.10369999999999999;0.9;333242.0;0;0.0
BPML11;Híbrido;0.0836;0.71;1316360.0;4;7.11
BPRP11;Outros;0.10279999999999999;0.88;286.0;1;0.0
BRCO11;Logística;0.09050000000000001;0.94;2695880.0;12;5.95
BRCR11;Híbrido;0.10800000000000001;0.55;1316030.0;6;6.14
BREV11;Híbrido;0.0055000000000000005;0.0;0.0;13;0.0
BRIM11;Residencial;0.18969999999999998;1.43;3856.0;1;0.0
BRIP11;Híbrido;0.2341;0.94;9889.0;0;0.0
BRLA11;Outros;0.0784;0.97;9489.0;8;0.0
BROF11;Híbrido;0.1244;0.44;399521.0;2;4.64
BTAL11;Outros;0.10550000000000001;0.69;694750.0;9;0.0
BTCI11;Títulos e Val. Mob.;0.1155;0.99;1459850.0;0;0.0
BTCR11;Títulos e Val. Mob.;0.0;0.92;0.0;0;0.0
BTHI11;Hotel;0.0966;0.64;37269.0;12;0.0
BTLG11;Híbrido;0.0863;0.97;9006910.0;21;2.43
BTML11;Híbrido;0.0665;0.96;0.0;2;9.7
BTRA11;Outros;0.09949999999999999;0.4;299474.0;6;30.27
BTSG11;Logística;0.0662;1.1;525.0;1;0.0
BTSI11;Híbrido;0.0732;1.05;38.0;4;0.0
BTWR11;Lajes Corporativas;0.0601;1.05;5.0;1;4.0
BTYU11;Híbrido;0.047;1.06;0.0;0;0.0
BVAR11;Outros;0.0562;1.61;0.0;47;23.15
CACR11;;0.1435;1.07;1405230.0;0;0.0
CARE11;Híbrido;0.0;0.23;8873.0;1;0.0
CBOP11;Lajes Corporativas;0.0487;0.38;6405.0;1;53.4
CCME11;Outros;0.1099;0.91;773266.0;2;13.22
CCRF11;Títulos e Val. Mob.;0.0118;0.95;0.0;0;0.0
CEOC11;Lajes Corporativas;0.11960000000000001;0.61;30866.0;1;0.0
CFHI11;Outros;0.2257;1.02;72.0;10;0.0
CFII11;Híbrido;0.10800000000000001;0.97;0.0;4;0.0
CJCT11;Lajes Corporativas;0.0276;0.84;28044.0;1;45.04
CLIN11;Títulos e Val. Mob.;0.1103;0.96;1515130.0;0;0.0
CNES11;Lajes Corporativas;0.061;0.19;85880.0;1;54.6
COPP11;Híbrido;0.0072;0.92;0.0;3;69.86
CORM11;Híbrido;0.0;0.89;0.0;3;0.0
CPFF11;Títulos e Val. Mob.;0.1143;0.88;200849.0;0;0.0
CPOF11;Híbrido;0.054900000000000004;0.97;4735780.0;3;69.86
CPSH11;Shoppings;0.1059;0.92;2403970.0;6;6.1
CPTR11;Títulos e Val. Mob.;0.1457;0.86;774748.0;0;0.0
CPTS11;Títulos e Val. Mob.;0.10880000000000001;0.92;8068550.0;0;0.0
CRAA11;Títulos e Val. Mob.;0.1393;1.03;1233500.0;0;0.0
CRFF11;Títulos e Val. Mob.;0.0977;0.9;84938.0;0;0.0
CTXT11;Lajes Corporativas;0.0;0.29;2453.0;1;100.0
CVBI11;Títulos e Val. Mob.;0.1192;0.98;2260520.0;0;0.0
CXAG11;Outros;0.10460000000000001;0.66;130407.0;32;0.0
CXCE11;Lajes Corporativas;0.1197;0.63;23483.0;1;0.0
CXCI11;Títulos e Val. Mob.;0.1177;0.88;129012.0;0;0.0
