PAPEL;SEGMENTO;DIVIDEND_YIELD;P_VP;LIQUIDEZ;QTD_DE_IMOVEIS;VACANCIA_MEDIA
AAZQ11;Títulos e Val. Mob.;0.1812;0.76;811424.0;0;0.0
ABCP11;Shoppings;0.0876;0.75;60763.0;1;2.01
AEFI11;Outros;0.0;1.2;0.0;7;0.0
AFCR11;Híbrido;0.0;1.05;0.0;0;0.0
AFHI11;Títulos e Val. Mob.;0.12359999999999999;0.99;1233550.0;0;0.0
AFOF11;Títulos e Val. Mob.;0.0;11.34;0.0;0;0.0
AGCX11;Outros;0.0;11.48;0.0;71;5.39
AGRX11;Híbrido;0.20679999999999998;0.68;567907.0;0;0.0
AIEC11;Lajes Corporativas;0.2151;0.5;579248.0;2;0.0
AJFI11;Títulos e Val. Mob.;0.1091;0.59;626717.0;0;0.0
ALMI11;Lajes Corporativas;0.024300000000000002;0.27;24918.0;1;55.4
ALZC11;Títulos e Val. Mob.;0.0859;0.91;250354.0;0;0.0
ALZM11;Títulos e Val. Mob.;0.1361;0.9;194186.0;0;0.0
ALZR11;Híbrido;0.0872;0.95;2070090.0;16;0.0
ANCR11;Shoppings;0.0554;0.97;437.0;7;4.42
APTO11;Híbrido;0.12179999999999999;0.92;40841.0;4;0.0
APXM11;Híbrido;0.0668;1.05;89003.0;1;10.58
ARCT11;Híbrido;0.0;0.87;0.0;13;3.26
AROA11;Outros;0.0583;1.12;7796.0;6;0.0
ARRI11;Títulos e Val. Mob.;0.1075;1.01;610453.0;0;0.0
ARXD11;Títulos e Val. Mob.;0.1384;0.09;188878.0;0;0.0
ASMT11;Híbrido;0.0;0.41;2142.0;3;0.0
ASRF11;Híbrido;0.0;1.16;34587.0;2;0.0
ATSA11;Shoppings;0.0235;0.67;1582.0;1;18.6
AURB11;Logística;0.0;1.13;21.0;2;48.35
AZPL11;Logística;0.0;0.72;627578.0;0;0.0
BARI11;Títulos e Val. Mob.;0.1243;0.77;588468.0;3;0.0
BBFI11;Lajes Corporativas;0.6388;0.4;165093.0;3;46.5
BBFO11;Títulos e Val. Mob.;0.1148;0.85;300541.0;0;0.0
BBGO11;Títulos e Val. Mob.;0.13449999999999998;0.66;670722.0;0;0.0
BBIG11;Shoppings;0.04;0.79;1192590.0;0;0.0
BBPO11;Lajes Corporativas;0.0;0.95;0.0;62;4.57
BBRC11;Outros;0.1193;0.94;114270.0;20;0.0
BBVJ11;Lajes Corporativas;0.0;0.88;0.0;1;45.04
BCFF11;Títulos e Val. Mob.;0.1191;0.81;2171150.0;0;0.0
BCIA11;Títulos e Val. Mob.;0.1142;0.87;830105.0;0;0.0
BCRI11;Títulos e Val. Mob.;0.1384;0.72;525902.0;0;0.0
BICE11;Títulos e Val. Mob.;0.08560000000000001;0.96;4921.0;0;0.0
BICR11;Títulos e Val. Mob.;0.0664;0.81;2959.0;0;0.0
BIME11;Híbrido;0.13720000000000002;0.84;68710.0;3;0.0
BIPD11;Títulos e Val. Mob.;0.0739;0.99;0.0;2;0.0
BLCA11;Lajes Corporativas;0.1346;1.01;109831.0;1;0.0
BLCP11;Logística;0.0;0.81;0.0;2;0.0
BLMC11;Títulos e Val. Mob.;0.0359;0.91;0.0;0;0.0
BLMG11;Outros;0.15810000000000002;0.46;724379.0;2;58.43
BLMO11;Lajes Corporativas;0.0705;0.7;53392.0;1;0.0
BLMR11;Títulos e Val. Mob.;0.0078000000000000005;0.84;0.0;0;0.0
BLOG11;Títulos e Val. Mob.;0.0067;1.03;188.0;0;0.0
BLUR11;Títulos e Val. Mob.;0.102;1.0;3063.0;0;0.0
BMLC11;Híbrido;0.0861;0.99;28450.0;1;2.14
BNFS11;Outros;0.15289999999999998;1.18;117241.0;18;0.22
BPFF11;Outros;0.11699999999999999;0.85;299416.0;0;0.0
BPML11;Híbrido;0.1192;0.62;1832240.0;4;7.11
BPRP11;Outros;0.0892;0.86;359.0;1;0.0
BRCO11;Logística;0.081;0.87;3155340.0;12;5.95
BRCR11;Híbrido;0.1305;0.48;1500760.0;6;6.14
BREV11;Híbrido;0.0;0.0;0.0;13;0.0
BRIM11;Residencial;0.28300000000000003;1.33;47399.0;1;0.0
BRIP11;Híbrido;0.2768;0.97;15381.0;0;0.0
BRLA11;Outros;0.08039999999999999;0.9;8695.0;8;0.0
BROF11;Híbrido;0.122;0.43;493999.0;2;4.64
BTAL11;Outros;0.1189;0.63;626745.0;9;0.0
BTCI11;Títulos e Val. Mob.;0.1275;0.88;1846860.0;0;0.0
BTCR11;Títulos e Val. Mob.;0.0;0.92;0.0;0;0.0
BTHI11;Hotel;0.1061;0.62;48314.0;14;0.0
