PAPEL;COTAÇÃO;P/L;P/VP;PSR;DIV.YIELD;P/ATIVO;P/CAP.GIRO;P/EBIT;P/ATIV CIRC.LIQ;EV/EBIT;EV/EBITDA;MRG EBIT;MRG. LÍQ.;LIQ. CORR.;ROIC;ROE;LIQ.2MESES;PATRIM. LÍQ;DÍV.LÍQ/ PATRIM.;CRESC. REC.5A;DÍVIDA LÍQUIDA/EBITDA;VALOR DE MERCADO
AALR3;8,45;-3,8;0,98;0,866;0,00%;0,364;-4,47;46,85;-0,92;82,32;12,7;1,85%;-22,10%;0,74;0,91%;-25,92%;1386260;1015110000;1,04;3,54%;5,47;999576000
ABCB3;0;0;0;0;0,00%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;14,29%;0;5721810000;0;70,94%;;0
ABCB4;23,85;6,91;0,99;0;6,31%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;14,29%;13961000;5721810000;0;70,94%;;5650930000
ABEV3;13,08;13,66;2,28;2,5;5,58%;1,494;55,59;12,12;-23,42;11,3;8,32;20,63%;18,82%;1,11;16,50%;16,71%;280700000;90254900000;0,04;13,23%;-0,6;206060000000
ABYA3;4,91;-214,8;1,76;2,055;0,00%;0,527;1,98;19,96;-2,75;33,67;33,67;10,29%;-0,96%;2,09;2,78%;-0,82%;0;292060000;1,31;16,41%;13,7;515088000
ACES3;95,27;8,79;2,28;1,693;0,00%;1,438;6,4;7,2;20,77;6,54;6,54;23,52%;19,27%;2,05;26,90%;25,95%;0;3105800000;0,09;13,34%;-0,65;7080470000
ACES4;94,73;8,74;2,27;1,683;0,00%;1,43;6,37;7,16;20,65;6,5;6,5;23,52%;19,27%;2,05;26,90%;25,95%;0;3105800000;0,09;13,34%;-0,65;7040330000
ADHM3;1,56;-4,09;-1,29;770,924;0,00%;105,126;-1,43;-5,69;-1,27;-5,69;-5,81;-13.548,50%;-18.860,60%;0;521,70%;31,47%;2064;-19776000;0;43,48%;0;25440500
AEDU3;18,35;59,34;3,32;4,141;0,00%;2,159;17;41,06;-21,55;43,27;29,01;10,08%;6,98%;2,04;5,77%;5,60%;0;2415400000;0,3;20,90%;1,48;8020250000
AEDU11;37,35;20,13;1,13;1,405;0,00%;0,732;5,77;13,93;-7,31;16,14;10,82;10,08%;6,98%;2,04;5,77%;5,60%;0;2415400000;0,3;20,90%;1,48;2720770000
AELP3;1,93;8,49;-200,57;-0,062;0,00%;5,216;0;-12,58;0;-11,94;-11,98;0,49%;-0,73%;0;0,00%;-2.363,83%;0;-904000;0;1,18%;0,64;181318000
AERI3;0,78;-8,86;1,19;0,3;0,00%;0,254;1,18;3,29;-2,31;6,77;5,73;9,12%;-3,39%;1,46;10,74%;-13,42%;5551100;815079000;2,17;10,41%;2,94;969075000
AESB3;11,39;43,45;1,53;2,13;0,00%;0,346;20,99;7,36;-0,63;17,26;9,84;28,95%;11,12%;1,11;5,47%;3,53%;27061200;4469480000;2,62;62,22%;5,65;6855950000
AESL3;10081,9;9,85;2,43;1,075;0,00%;0,671;-25,42;4,6;-1,22;7,37;7,37;23,34%;10,91%;0,87;15,63%;24,65%;0;4673660000;1,53;18,30%;2,77;11346400000
AESL4;10081,9;9,85;2,43;1,075;0,00%;0,671;-25,42;4,6;-1,22;7,37;7,37;23,34%;10,91%;0,87;15,63%;24,65%;0;4673660000;1,53;18,30%;2,77;11346400000
AFLT3;8,1;18,51;1,95;6,987;7,34%;1,634;16,75;17,68;48,76;17,27;17,15;39,53%;37,74%;1,98;9,79%;10,55%;4094;261604000;0;29,36%;-0,4;510989000
AFLU3;5,15;9,15;2,19;2,981;0,00%;1,919;9,86;8,52;12,21;7,57;7,24;34,98%;32,59%;3,27;31,18%;23,93%;0;44270000;0;8,61%;-0,91;96912700
AFLU5;5,03;8,93;2,14;2,911;0,00%;1,875;9,63;8,32;11,92;7,38;7,05;34,98%;32,59%;3,27;31,18%;23,93%;0;44270000;0;8,61%;-0,91;94654500
AGEI3;7,8;0;1,25;0;0,00%;0,47;1,39;0;-12,59;0;0;0,00%;0,00%;2,45;0,00%;0,00%;0;1878210000;1,01;0,00%;;2340000000
