PAPEL;COTACAO;P_L;P_VP;PSR;DIV_YIELD;P_ATIVO;P_CAP_GIRO;P_EBIT;P_ATIV_CIRC_LIQ;EV_EBIT;EV_EBITDA;MRG_EBIT;MRG_LIQ;LIQ_CORR;ROIC;ROE;LIQ_2MESES;PATRIM_LIQ;DIV_BRUT_PATRIM;CRESC_REC_5A
POPR4;10.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0866;0.0565;1.08;0.1525;0.1993;0.0;545803000.0;0.82;0.3093
PORP4;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.020800000000000003;0.0;22399000.0;0.0;0.1366
CFLU4;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0888;0.1072;1.1;0.1768;0.3215;0.0;60351000.0;0.06;0.08140000000000001
CSTB3;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40850000000000003;0.2898;2.6;0.22399999999999998;0.2011;0.0;8420670000.0;0.14;0.3191
PMET3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.040999999999999995;0.0;-290863000.0;0.0;0.3774
CSTB4;147.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40850000000000003;0.2898;2.6;0.22399999999999998;0.2011;0.0;8420670000.0;0.14;0.3191
CLAN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0105;0.0;1012240000.0;0.0;-0.6396000000000001
MNSA3;0.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0815;-3.6266000000000003;3.63;-0.135;1.4569999999999999;0.0;-9105000.0;-6.52;-0.4111
MNSA4;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0815;-3.6266000000000003;3.63;-0.135;1.4569999999999999;0.0;-9105000.0;-6.52;-0.4111
IVTT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.004;0.0;1083050000.0;0.0;0.20670000000000002
GNDI3;66.95;-3584.82;5.84;3.423;0.0239;2.378;79.65;87.05;-6.21;91.13;50.88;0.0393;-0.0009;1.17;0.0309;-0.0016;0.0;7116080000.0;0.53;0.2523
GPAR3;47.5;-1248.65;4.94;441.514;0.0;4.566;16.01;1947.84;20.32;1854.27;1881.39;0.2267;-0.3536;20.08;0.0031;-0.004;0.0;766309000.0;0.02;-0.5734
PRNR3;12.29;-681.95;1.88;0.59;0.0059;0.628;2.89;9.63;-4.36;13.15;7.65;0.0613;0.0076;1.75;0.0849;-0.0028000000000000004;4171270.0;306004000.0;1.31;0.4277
PLDN4;486.0;-553.07;1.08;0.919;0.0;0.611;1.07;-75.56;3.1;-33.12;-33.12;-0.0122;-0.0017000000000000001;10.81;-0.012700000000000001;-0.002;0.0;289939000.0;0.01;0.1026
HETA3;96.0;-470.77;-0.14;12.606;0.0;3.407;-40.36;16.21;-0.14;123.65;123.65;0.7778;-0.0268;0.75;0.2109;0.0003;0.0;-351500000.0;-0.92;0.3725
PETZ3;4.91;-459.16;1.25;0.708;0.0006;0.576;3.46;14.32;-2.95;14.47;4.65;0.049400000000000006;-0.0015;1.94;0.0501;-0.0027;74482200.0;1813550000.0;0.24;0.2218
BAHI4;86.0;-411.61;24.38;6.24;0.0;4.149;-16.79;-301.61;-5.42;-315.28;245.72;-0.0207;-0.011899999999999999;0.21;-0.014199999999999999;-0.0592;0.0;93107000.0;1.22;0.3091
LCSA4;35.09;-337.52;-228.0;79.738;0.0;125.308;-202.27;-505.8;-96.61;-506.56;-506.56;-0.1577;-0.23629999999999998;0.29;-0.2874;0.6755;0.0;-377568000.0;-0.35;63.5407
BAHI5;65.0;-311.1;18.42;4.716;0.0;3.136;-12.69;-227.96;-4.09;-241.63;188.32;-0.0207;-0.011899999999999999;0.21;-0.014199999999999999;-0.0592;0.0;93107000.0;1.22;0.3091
CRFB3;9.28;-305.81;1.0;0.174;0.0;0.214;-9.61;4.8;-0.72;8.62;5.91;0.0363;0.0014000000000000002;0.95;0.0601;-0.0033000000000000004;78856300.0;19620000000.0;1.21;0.16460000000000002
BHGR3;19.1;-272.16;1.1;3.613;0.0;0.855;-194.45;23.7;-8.56;25.95;14.2;0.1524;-0.0131;0.96;0.0393;-0.004;0.0;1077600000.0;0.2;0.20670000000000002
DMMO3;1.76;-258.65;-1.72;2.854;0.0;3.346;11.9;6.37;-1.37;5.9;5.42;0.44810000000000005;-0.011000000000000001;2.25;0.7039;0.006600000000000001;0.0;-553275000.0;0.0;-0.17370000000000002
SCLO3;14.1;-250.46;-103.05;0.0;0.0;239.427;-96.59;-160.72;-90.43;-160.9;-160.9;0.0;0.0;0.21;-1.9175;0.4114;0.0;-131355.0;-0.21;-0.6645000000000001
RJCP3;0.01;-224.7;0.65;0.0;0.0;0.619;0.0;-522.94;0.0;-523.96;-917.32;0.0;0.0;0.0;0.0;-0.0029;0.0;17287200.0;0.0;0.0
ABYA3;4.91;-214.8;1.76;2.055;0.0;0.527;1.98;19.96;-2.75;33.67;33.67;0.10289999999999999;-0.0096;2.09;0.0278;-0.008199999999999999;0.0;292060000.0;1.31;0.1641
PITI4;1.28;-204.74;0.0;0.0;0.0;0.0;0.0;-2637.65;0.0;-2637.65;111.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.2963
LCSA3;12.5;-120.23;-81.22;28.405;0.0;44.638;-72.05;-180.18;-34.41;-180.95;-180.95;-0.1577;-0.23629999999999998;0.29;-0.2874;0.6755;0.0;-377568000.0;-0.35;63.5407
MAGG3;59.4;-119.98;1.32;0.684;0.0;0.44;9.32;4.07;-1.55;6.41;5.34;0.16820000000000002;-0.005699999999999999;1.14;0.1405;-0.011000000000000001;0.0;2246130000.0;1.03;0.09269999999999999
DOHL3;10.17;-117.24;1.11;1.311;0.0;0.791;1.77;-293.18;2.91;-317.68;54.77;-0.0045000000000000005;-0.011200000000000002;4.88;-0.003;-0.0095;0.0;691577000.0;0.17;0.0526
SQIA3;27.37;-110.33;3.7;3.592;0.0;1.49;25.87;62.33;-3.84;67.32;18.5;0.0576;-0.0288;1.43;0.0281;-0.0335;0.0;650717000.0;0.65;0.4632
LINX3;37.4;-90.95;4.38;7.885;0.0152;2.745;11.96;53.17;47.06;51.49;22.97;0.14830000000000002;-0.0867;2.14;0.06820000000000001;-0.0481;0.0;1619010000.0;0.22;0.15539999999999998
BNCA3;70.3;-90.3;2.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.027200000000000002;0.0;3068150000.0;0.0;0.024100000000000003
FRIO3;137.0;-73.51;2.49;0.422;0.0;0.437;9.2;9.8;-5.54;17.85;10.36;0.0431;-0.0022;1.07;0.0636;-0.0339;732785.0;345537000.0;2.42;0.0819
AMIL3;32.2;-73.28;7.7;1.129;0.0;2.003;-16.95;136.58;-5.43;138.61;50.13;0.0083;-0.015300000000000001;0.75;0.0222;-0.1051;0.0;1532980000.0;1.24;0.2847
AMBP3;134.5;-70.86;14.82;4.313;0.0;1.705;5.87;21.32;-4.36;26.36;18.12;0.2023;-0.027400000000000004;3.31;0.11220000000000001;-0.20920000000000002;117629000.0;1515810000.0;5.81;0.7036
BRTP3;35.71;-67.26;2.45;1.168;0.0;0.684;8.98;6.03;-2.4;7.55;7.55;0.1937;-0.0296;1.29;0.1341;-0.0364;0.0;5302340000.0;0.91;0.0366
IDVL11;140.0;-66.0;60.56;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.9176000000000001;0.0;237683000.0;0.0;0.0
CLSA3;8.77;-58.5;2.33;3.409;0.0;1.894;4.4;-20.14;4.6;-15.92;-36.57;-0.16920000000000002;-0.058300000000000005;3.55;-0.174;-0.0398;14341400.0;707285000.0;0.03;0.008
AESB3;11.67;-52.87;1.65;1.968;0.0064;0.347;-7.04;7.57;-0.61;18.32;9.08;0.26;0.0072;0.77;0.0525;-0.0313;39509800.0;4262700000.0;2.86;0.7684000000000001
HAPV3;4.0;-52.86;0.62;1.889;0.0;0.406;10.66;26.65;-1.97;30.15;42.76;0.0709;-0.0357;1.39;0.0171;-0.0117;268689000.0;48754600000.0;0.24;0.302
PEFX3;19.0;-52.04;1.68;0.477;0.0;0.597;20.34;5.75;-3.18;6.59;0.0;0.083;-0.0092;1.07;0.1177;-0.032400000000000005;0.0;396955000.0;0.31;0.04360000000000001
PEFX5;19.0;-52.04;1.68;0.477;0.0;0.597;20.34;5.75;-3.18;6.59;0.0;0.083;-0.0092;1.07;0.1177;-0.032400000000000005;0.0;396955000.0;0.31;0.04360000000000001
MTIG4;23.0;-49.52;-359.15;56.001;0.0;36.906;-50.93;-94.31;-44.0;-95.57;-104.6;-0.5938;-1.1309;0.27;-0.478;7.2528;0.0;-7835380.0;-4.95;-0.26539999999999997
DOHL4;4.19;-48.3;0.46;0.54;0.0;0.326;0.73;-120.79;1.2;-145.28;25.05;-0.0045000000000000005;-0.011200000000000002;4.88;-0.003;-0.0095;4740.11;691577000.0;0.17;0.0526
TOYB4;2.5;-47.96;-5.43;5.256;0.0;4.405;-6.47;-9.04;-3.83;-9.15;-9.67;-0.5816;-0.10960000000000002;0.49;-0.5936;0.1131;0.0;-13852000.0;-0.07;-0.2699
PTBL3;4.64;-46.71;1.68;0.288;0.0;0.196;-3.85;6.58;-0.37;17.02;6.51;0.0438;-0.0062;0.87;0.039;-0.036000000000000004;2509640.0;388929000.0;3.27;0.1796
IMBI3;5.01;-46.42;2.81;2659.02;0.0;0.518;-2.21;-97.12;-0.37;-104.72;-107.45;-27.378800000000002;-138.21200000000002;0.05;-0.0054;-0.0605;0.0;62544000.0;0.22;-0.5716
CLAN4;3.0;-44.92;0.47;15.151;0.0;0.406;-15.5;-82.56;-6.36;-97.43;22.68;-0.18350000000000002;-0.3373;0.73;-0.005;-0.0105;0.0;1012240000.0;0.08;-0.6396000000000001
TEND3;12.4;-44.27;1.76;0.498;0.0;0.325;1.64;6.17;-1.18;7.99;6.34;0.0808;-0.013600000000000001;1.58;0.0652;-0.039700000000000006;32193800.0;869365000.0;1.35;0.08650000000000001
TOYB3;2.29;-43.94;-4.97;4.815;0.0;4.035;-5.93;-8.28;-3.5;-8.39;-8.87;-0.5816;-0.10960000000000002;0.49;-0.5936;0.1131;0.0;-13852000.0;-0.07;-0.2699
EBTP3;10.21;-43.56;1.17;0.548;0.0;0.353;-502.47;6.42;-0.73;8.46;2.85;0.0853;-0.0103;0.99;0.060300000000000006;-0.0268;0.0;10782200000.0;0.39;0.22100000000000003
EBTP4;10.0;-42.66;1.14;0.537;0.0;0.346;-492.13;6.29;-0.71;8.33;2.81;0.0853;-0.0103;0.99;0.060300000000000006;-0.0268;0.0;10782200000.0;0.39;0.22100000000000003
NGRD3;1.14;-42.22;0.58;0.97;0.005;0.403;1.79;-40.71;5.13;-17.44;6.24;-0.023799999999999998;-0.0258;2.39;-0.0141;-0.0138;787422.0;446826000.0;0.04;0.0558
RAIL3;20.07;-41.53;2.6;2.975;0.0046;0.757;5.89;7.99;-1.64;10.48;5.12;0.3722;-0.0712;2.12;0.1159;-0.0626;286887000.0;14309300000.0;1.37;0.1577
FBRA4;34.58;-39.57;1.66;0.457;0.0;0.738;18.94;7.4;-4.43;10.62;10.62;0.0618;-0.0115;1.11;0.11939999999999999;-0.042;0.0;213406000.0;0.77;0.12480000000000001
BRTP4;20.81;-39.19;1.43;0.681;0.0;0.399;5.23;3.51;-1.4;5.03;5.03;0.1937;-0.0296;1.29;0.1341;-0.0364;0.0;5302340000.0;0.91;0.0366
ARTR3;10.01;-36.51;1.21;0.849;0.0;0.261;6.19;3.42;-0.4;10.37;6.17;0.2487;-0.0233;1.43;0.0882;-0.0332;0.0;4746520000.0;3.04;0.1191
PDTC3;1.85;-35.81;1.1;0.46;0.024900000000000002;0.214;0.45;19.61;-2.81;43.19;10.15;0.0235;-0.0129;2.85;0.0161;-0.0308;111108.0;133105000.0;2.57;0.7223999999999999
ITEC3;40.1;-35.12;22.04;2611.69;0.0;9.216;25.42;-26.0;-68.91;-24.8;-29.56;-100.447;-74.3588;5.23;-0.6306;-0.6276;0.0;20143000.0;0.0;-0.7479000000000001
APER3;46.75;-32.82;2.02;2.677;0.0;1.015;115.28;14.43;-4.33;15.41;11.57;0.1855;-0.0824;1.03;0.0833;-0.061500000000000006;81555.6;472202000.0;0.4;0.42200000000000004
IMBI4;3.5;-32.43;1.96;1857.6;0.0;0.362;-1.54;-67.85;-0.26;-75.44;-77.41;-27.378800000000002;-138.21200000000002;0.05;-0.0054;-0.0605;0.0;62544000.0;0.22;-0.5716
PRTX3;2.77;-32.27;-145.32;297.651;0.0;1.4;-2.57;-97.11;-1.43;-128.99;37.19;-3.065;-9.2247;0.05;-0.015;4.5037;0.0;-18917000.0;-49.85;3.0795999999999997
BAHI3;6.6;-31.59;1.87;0.479;0.0;0.318;-1.29;-23.15;-0.42;-36.82;28.69;-0.0207;-0.011899999999999999;0.21;-0.014199999999999999;-0.0592;23901.4;93107000.0;1.22;0.3091
MGLU3;10.0;-31.5;0.67;0.198;0.0;0.211;1.87;7.35;-1.12;9.84;4.37;0.0269;-0.0063;1.29;0.0415;-0.021400000000000002;249014000.0;10974000000.0;0.41;0.1173
DFVA3;9.9;-31.38;60.69;4.327;0.0;5.365;29.1;-55.91;-31.47;-58.28;-58.28;-0.07740000000000001;-0.1379;1.33;-0.1035;-1.9342;0.0;1170000.0;2.84;0.0339
ASTA4;25.83;-30.79;1.0;0.652;0.0;0.446;2.57;19.9;-3.3;33.2;33.2;0.032799999999999996;-0.0212;1.71;0.0252;-0.0325;0.0;515672000.0;0.85;-0.04730000000000001
ESPA3;1.05;-30.26;0.44;0.37;0.0;0.171;0.99;2.55;-0.95;7.14;4.49;0.145;-0.013300000000000001;1.67;0.0736;-0.014499999999999999;445620.0;864673000.0;0.99;0.1267
VGOR4;5.87;-29.58;7.18;1.229;0.0;1.468;113.97;27.32;-3.22;34.09;34.09;0.045;-0.045899999999999996;1.04;0.06;-0.2429;0.0;135178000.0;1.89;0.0477
HETA4;6.0;-29.42;-0.01;0.788;0.0;0.213;-2.52;1.01;-0.01;108.46;108.46;0.7778;-0.0268;0.75;0.2109;0.0003;866.42;-351500000.0;-0.92;0.3725
CRBM3;90.0;-28.95;3.26;1.498;0.0;1.172;2.98;-15.45;16.9;-14.17;-14.17;-0.09699999999999999;-0.0518;2.24;-0.12710000000000002;-0.1128;0.0;827347000.0;0.45;-0.0158
BRAV3;17.78;-28.88;1.67;0.939;0.011200000000000002;0.38;7.45;3.73;-0.66;8.03;5.69;0.2519;-0.03;1.37;0.1174;-0.057800000000000004;180328000.0;4944070000.0;2.25;1.6878
AURA33;21.7;-27.5;3.42;1.878;0.047;0.961;7.54;6.78;-2.66;7.92;7.92;0.2768;-0.0683;1.55;0.2047;-0.1242;5408710.0;1379760000.0;1.35;0.08869999999999999
AURE3;10.44;-27.06;0.85;1.69;0.182;0.357;2.41;12.14;-1.08;16.0;9.13;0.1392;-0.0625;2.45;0.0361;-0.0313;49368200.0;12315500000.0;0.67;0.24550000000000002
ENAT3;21.64;-26.73;1.38;3.034;0.0;0.447;1.72;39.15;-1.85;47.4;6.27;0.0775;-0.1135;2.51;0.0211;-0.051500000000000004;6207920.0;4174490000.0;1.49;0.15109999999999998
PTBL4;2.59;-26.08;0.94;0.161;0.0;0.11;-2.15;3.67;-0.21;14.11;5.4;0.0438;-0.0062;0.87;0.039;-0.036000000000000004;0.0;388929000.0;3.27;0.1796
